Term"	"曜日/
Day of Week"	"時限/
Period"	Online	"Zoom 
MTG ID "	"教室/
Classroom"	"講義CD/
Subject CD"	講義名	Subject Name	担当教員	Instructor	"言語/
Semester	月/Mon.	2			D107	010101AB	日本語中級 AB	Japanese Intermediate Course AB	深山 道助	MIYAMA MICHISUKE		1	言語/Language	-
Semester	月/Mon.	2			D305	010101AC	日本語中級 AC	Japanese Intermediate Course AC	多田 利恵	TADA Rie		1	言語/Language	-
Semester	月/Mon.	2			F214	010101AD	日本語中級 AD	Japanese Intermediate Course AD	小野田 千絵	ONODA Chie		1	言語/Language	-
Semester	月/Mon.	2			FⅡ230	010101AE	日本語中級 AE	Japanese Intermediate Course AE	栃原 玲子	TOCHIHARA Reiko		1	言語/Language	-
Semester	月/Mon.	2			F208	010101AF	日本語中級 AF	Japanese Intermediate Course AF	星野 智子	HOSHINO Tomoko		1	言語/Language	-
Semester	月/Mon.	2			F303	010101AG	日本語中級 AG	Japanese Intermediate Course AG	津田 真理子	TSUDA Mariko		1	言語/Language	-
Semester	月/Mon.	2			FⅡ231	010101AH	日本語中級 AH	Japanese Intermediate Course AH	佐々木 美江	SASAKI Mie		1	言語/Language	-
Semester	月/Mon.	2			F205	010102AA	日本語中上級 AA	Pre-Advanced Japanese AA	石村 文恵	ISHIMURA Fumie		1	言語/Language	-
Semester	月/Mon.	2			F108	010102AB	日本語中上級 AB	Pre-Advanced Japanese AB	伊藤 俊也	ITO Toshinari		1	言語/Language	-
Semester	月/Mon.	2			F206	010102AC	日本語中上級 AC	Pre-Advanced Japanese AC	高松 知恵美	TAKAMATSU Chiemi		1	言語/Language	-
Semester	月/Mon.	2			FⅡ229	010103AA	日本語上級 AA	Advanced Japanese AA	廣津 公子	HIROTSU Koko		1	言語/Language	-
Semester	月/Mon.	2			D108	010103AB	日本語上級 AB	Advanced Japanese AB	板橋 民子	ITABASHI Tamiko		1	言語/Language	-
Semester	月/Mon.	2			FⅡ320	010180SC	中国語Ⅰ SC	Chinese I SC	河原畑 希久	KAWARABATA Kiku		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ328	010180SJ	中国語Ⅰ SJ	Chinese I SJ	張 玲	ZHANG Ling		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ325	010190SA	中国語Ⅱ SA	Chinese II SA	羅 華	LUO Hua		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ323	010200SB	中国語Ⅲ SB	Chinese III SB	王 楓	WANG Feng		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			J307	010220SA	韓国語Ⅰ SA	Korean I SA	李 ソヨン	LEE Soyeong		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			J305	010220SG	韓国語Ⅰ SG	Korean I SG	朴 映勳	PARK YoungHoon		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			J308	010220SI	韓国語Ⅰ SI	Korean I SI	金 奈愛	KIM Naae		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			J303	010230SA	韓国語Ⅱ SA	Korean II SA	朴 ウギョン	PARK Woo kyoung		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
